a 00010000
a2 00010040
ai 00010041
au 00010042
e 00010001
i 00010002
o 00010003
u 00010004
da 00010005
de 00010006
di 00010007
do 00010008
du 00010009
dwe 00010043
dwo 00010044
ja 0001000A
je 0001000B
jo 0001000D
ka 0001000F
ke 00010010
ki 00010011
ko 00010012
ku 00010013
ma 00010014
me 00010015
mi 00010016
mo 00010017
mu 00010018
na 00010019
ne 0001001A
ni 0001001B
no 0001001C
nu 0001001D
nwa 00010045
pa 0001001E
pe 0001001F
pi 00010020
po 00010021
pu 00010022
pu2 00010046
pte 00010047
qa 00010023
qe 00010024
qi 00010025
qo 00010026
ra 00010028
ra2 00010048
ra3 00010049
re 00010029
ri 0001002A
ro 0001002B
ro2 0001004A
ru 0001002C
sa 0001002D
se 0001002E
si 0001002F
so 00010030
su 00010031
ta 00010032
ta2 0001004B
te 00010033
ti 00010034
to 00010035
tu 00010036
twe 0001004C
two 0001004D
wa 00010037
we 00010038
wi 00010039
wo 0001003A
za 0001003C
ze 0001003D
zo 0001003F
i80 00010080
i81 00010081
i82 00010082
i83 00010083
i84 00010084
i85 00010085
i86 00010086
i87 00010087
i88 00010088
i89 00010089
i8a 0001008A
i8b 0001008B
i8c 0001008C
i8d 0001008D
i8e 0001008E
i8f 0001008F
i90 00010090
i91 00010091
i92 00010092
i93 00010093
i94 00010094
i95 00010095
i96 00010096
i97 00010097
i98 00010098
i99 00010099
i9a 0001009A
i9b 0001009B
i9c 0001009C
i9d 0001009D
i9e 0001009E
i9f 0001009F
ia0 000100A0
ia1 000100A1
ia2 000100A2
ia3 000100A3
ia4 000100A4
ia5 000100A5
ia6 000100A6
ia7 000100A7
ia8 000100A8
ia9 000100A9
iaa 000100AA
iab 000100AB
iac 000100AC
iad 000100AD
iae 000100AE
iaf 000100AF
ib0 000100B0
ib1 000100B1
ib2 000100B2
ib3 000100B3
ib4 000100B4
ib5 000100B5
ib6 000100B6
ib7 000100B7
ib8 000100B8
ib9 000100B9
iba 000100BA
ibb 000100BB
ibc 000100BC
ibd 000100BD
ibe 000100BE
ibf 000100BF
ic0 000100C0
ic1 000100C1
ic2 000100C2
ic3 000100C3
ic4 000100C4
ic5 000100C5
ic6 000100C6
ic7 000100C7
ic8 000100C8
ic9 000100C9
ica 000100CA
icb 000100CB
icc 000100CC
icd 000100CD
ice 000100CE
icf 000100CF
id0 000100D0
id1 000100D1
id2 000100D2
id3 000100D3
id4 000100D4
id5 000100D5
id6 000100D6
id7 000100D7
id8 000100D8
id9 000100D9
ida 000100DA
idb 000100DB
idc 000100DC
idd 000100DD
ide 000100DE
idf 000100DF
ie0 000100E0
ie1 000100E1
ie2 000100E2
ie3 000100E3
ie4 000100E4
ie5 000100E5
ie6 000100E6
ie7 000100E7
ie8 000100E8
ie9 000100E9
iea 000100EA
ieb 000100EB
iec 000100EC
ied 000100ED
iee 000100EE
ief 000100EF
if0 000100F0
if1 000100F1
if2 000100F2
if3 000100F3
if4 000100F4
if5 000100F5
if6 000100F6
if7 000100F7
if8 000100F8
if9 000100F9
ifa 000100FA
1 00010107
2 00010108
3 00010109
4 0001010A
5 0001010B
6 0001010C
7 0001010D
8 0001010E
9 0001010F
10 00010110
20 00010111
30 00010112
40 00010113
50 00010114
60 00010115
70 00010116
80 00010117
90 00010118
100 00010119
200 0001011A
300 0001011B
400 0001011C
500 0001011D
600 0001011E
700 0001011F
800 00010120
900 00010121
1000 00010122
2000 00010123
3000 00010124
4000 00010125
5000 00010126
6000 00010127
7000 00010128
8000 00010129
9000 0001012A
10000 0001012B
20000 0001012C
30000 0001012D
40000 0001012E
50000 0001012F
60000 00010130
70000 00010131
80000 00010132
90000 00010133
